GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,R
Lineups,-203463-204038-1627741-1627746-1627834-,B. McLemore - L. Galloway - B. Hield - S. Labissiere - G. Papagiannis,1610612758,SAC,9,2,7,0.222,48,120.6,120.4,96.8,91.3,23.8,29.1,0.732,3,21.9,0.311,0.736,0.541,0.108,0.566,0.59,90.7,93.38,77.81,93,0.69,654,1868,12638,7778,379,3413,4962,3319,3175,597,2560,4345,5956,4268,6512,4069,4576,10350,3286,0.9615000000000004
Lineups,-201152-202709-202711-203506-1627734-,T. Young - C. Joseph - B. Bogdanovic - V. Oladipo - D. Sabonis,1610612754,IND,35,28,7,0.8,89,109.1,108.6,109.8,108.4,-0.7,0.2,0.568,1.53,18.2,0.263,0.691,0.494,0.161,0.583,0.597,100,100.88,84.07,186,0.501,22,5,13585,4250,146,4987,8220,5811,5785,2992,4549,5124,7334,7342,9049,4258,5008,8572,6098,0.959
Lineups,-203476-203952-203967-1626145-1629006-,G. Dieng - A. Wiggins - D. Saric - T. Jones - J. Okogie,1610612750,MIN,18,8,10,0.444,65,109.2,102.7,98.2,94,11,8.7,0.552,1.88,16.2,0.284,0.843,0.569,0.115,0.516,0.562,103.4,108.99,90.82,148,0.579,108,228,14745,7571,235,6119,5764,5587,6555,2860,6499,5341,4785,4263,8147,5973,6396,6875,5277,0.9406666666666664
Lineups,-200794-203914-203999-1627750-1629008-,P. Millsap - G. Harris - N. Jokic - J. Murray - M. Porter Jr.,1610612743,DEN,5,2,3,0.4,52,112,110.1,124,126.6,-12,-16.5,0.75,1.8,23.2,0.217,0.791,0.494,0.183,0.629,0.631,100.9,100.71,83.93,109,0.479,958,1419,13478,7679,235,5775,10404,8908,3701,3042,2994,6432,5989,7819,10808,4143,4982,9832,7202,0.9305
Lineups,-203082-203613-1626170-1626185-1628964-,T. Ross - J. Simmons - J. Grant - J. Martin - M. Bamba,1610612753,ORL,8,5,3,0.625,50,90.3,91.8,91.5,89.4,-1.1,2.4,0.667,1,16.7,0.224,0.709,0.481,0.218,0.482,0.538,105.9,106.26,88.55,110,0.531,645,512,13118,5583,335,8445,5367,6117,4398,4176,5745,6503,7408,7922,11775,7844,6934,7960,6109,0.93
Lineups,-203920-1627783-1629018-1630201-1630567-,K. Birch - P. Siakam - G. Trent Jr. - M. Flynn - S. Barnes,1610612761,TOR,6,3,3,0.5,50,121.2,123.2,129.7,128.7,-8.5,-5.5,0.533,4.8,16.6,0.367,0.649,0.474,0.051,0.495,0.532,96.9,96.44,80.37,99,0.437,822,956,15870,7220,285,4983,12408,9541,8013,432,7768,4399,10292,9516,7452,9293,8413,13138,9352,0.9295
Lineups,-2546-201167-201577-204001-204038-,C. Anthony - A. Afflalo - R. Lopez - K. Porzingis - L. Galloway,1610612752,NYK,15,4,11,0.267,87,104.7,102.8,95.8,93.1,8.9,9.7,0.645,2.67,16.2,0.262,0.767,0.487,0.084,0.432,0.495,95,97.22,81.02,179,0.547,274,851,12650,7521,164,4748,5364,4734,4319,999,5208,5068,5059,6707,5554,7070,7294,8763,5195,0.9291666666666668
Lineups,-1626167-1628971-1630169-1630174-1631097-,M. Turner - B. Brown - T. Haliburton - A. Nesmith - B. Mathurin,1610612754,IND,16,9,7,0.563,55,124,116.4,129.1,123.7,-5.1,-7.3,0.646,2.38,18.9,0.333,0.593,0.463,0.112,0.566,0.609,96,101.25,84.38,116,0.483,133,164,15669,6228,257,5907,10269,8842,6594,2152,6130,4470,9903,8923,8649,6097,6170,9934,7710,0.928
Lineups,-202322-202693-203078-203490-1626162-,J. Wall - M. Morris - B. Beal - O. Porter Jr. - K. Oubre Jr.,1610612764,WAS,16,7,9,0.438,87,113.2,113.5,116.2,111.5,-3,2,0.592,1.55,17.4,0.253,0.705,0.485,0.151,0.565,0.607,103.2,105.15,87.62,192,0.508,187,316,13747,7082,151,4418,8527,5708,5521,2984,4992,5193,7168,7430,8772,4680,4770,6786,6051,0.912
Lineups,-201587-202694-202695-1627826-1629611-,N. Batum - M. Morris Sr. - K. Leonard - I. Zubac - T. Mann,1610612746,LAC,8,4,4,0.5,52,109.7,107.5,102,104.7,7.7,2.8,0.489,1.83,14.5,0.377,0.776,0.555,0.112,0.467,0.505,97.8,97.56,81.3,107,0.514,518,642,15955,7037,267,7315,8524,6913,9929,3387,8594,4153,6669,5469,8953,9676,9592,12606,7359,0.9101666666666668
